passada,iteracao,curso,disciplinas_livres,variaveis_x_livres,variaveis_x_fixadas,tempo_gasto_s,status_solver,objetivo_anterior,objetivo_candidato,melhorou,melhoria_objetivo,objetivo_incumbente
1,1,ADM,48,9292,85698,302.61,OPTIMAL,186294.0,186289.0,True,5.0,186289.0
1,2,AGRO,51,8740,86250,350.88,OPTIMAL,186289.0,186286.0,True,3.0,186286.0
1,3,CC,47,10534,84456,303.76,OPTIMAL,186286.0,186286.0,False,0.0,186286.0
1,4,CS,22,4554,90436,0.65,OPTIMAL,186286.0,186286.0,False,0.0,186286.0
1,5,EAS,45,7452,87538,302.31,OPTIMAL,186286.0,186286.0,False,0.0,186286.0
1,6,ENF,18,8510,86480,306.06,OPTIMAL,186286.0,186141.0,True,145.0,186141.0
1,7,FIL,15,2760,92230,300.97,OPTIMAL,186141.0,186141.0,False,0.0,186141.0
1,8,GEO,10,2070,92920,0.72,OPTIMAL,186141.0,186141.0,False,0.0,186141.0
1,9,HIS,24,4784,90206,301.23,OPTIMAL,186141.0,186141.0,False,0.0,186141.0
1,10,LET,36,9154,85836,359.99,OPTIMAL,186141.0,186139.0,True,2.0,186139.0
1,11,MAT,23,4968,90022,301.63,OPTIMAL,186139.0,186139.0,False,0.0,186139.0
1,12,MED,41,9384,85606,303.0,OPTIMAL,186139.0,186139.0,False,0.0,186139.0
1,13,PED,56,12788,82202,350.5,OPTIMAL,186139.0,186105.5,True,33.5,186105.5
2,1,ADM,48,9292,85698,302.82,OPTIMAL,186105.5,186105.5,False,0.0,186105.5
2,2,AGRO,51,8740,86250,326.1,OPTIMAL,186105.5,186105.5,False,0.0,186105.5
2,3,CC,47,10534,84456,312.19,OPTIMAL,186105.5,186105.5,False,0.0,186105.5
2,4,CS,22,4554,90436,300.94,OPTIMAL,186105.5,186105.5,False,0.0,186105.5
2,5,EAS,45,7452,87538,303.08,OPTIMAL,186105.5,186105.5,False,0.0,186105.5
2,6,ENF,18,8510,86480,327.47,OPTIMAL,186105.5,186105.5,False,0.0,186105.5
2,7,FIL,15,2760,92230,300.73,OPTIMAL,186105.5,186105.5,False,0.0,186105.5
2,8,GEO,10,2070,92920,0.7,OPTIMAL,186105.5,186105.5,False,0.0,186105.5
2,9,HIS,24,4784,90206,1.96,OPTIMAL,186105.5,186105.5,False,0.0,186105.5
2,10,LET,36,9154,85836,326.42,OPTIMAL,186105.5,186105.5,False,0.0,186105.5
2,11,MAT,23,4968,90022,301.24,OPTIMAL,186105.5,186105.5,False,0.0,186105.5
2,12,MED,41,9384,85606,308.85,OPTIMAL,186105.5,186105.5,False,0.0,186105.5
2,13,PED,56,12788,82202,397.53,OPTIMAL,186105.5,186105.5,False,0.0,186105.5
