experimento,tempo_inicial_s,tempo_total_config_s,tempo_real_experimento_s,objetivo_inicial_experimento,objetivo_final_experimento,melhorias_experimento,curso,disciplinas_livres,iteracao,melhorou,objetivo_anterior,objetivo_candidato,objetivo_incumbente,passada,status_solver,tempo_gasto_s,tempo_limite_subproblema_s,variaveis_x_fixadas,variaveis_x_livres,vizinhanca
fixopt_passada_init60_total300,60,300,269.8,201417.0,189891.0,13,ADM,48,1,True,201417.0,200105.0,200105.0,1,OPTIMAL,5.15,236.06,85698,9292,curso
fixopt_passada_init60_total300,60,300,269.8,201417.0,189891.0,13,AGRO,51,2,True,200105.0,197492.5,197492.5,1,OPTIMAL,7.42,230.85,86250,8740,curso
fixopt_passada_init60_total300,60,300,269.8,201417.0,189891.0,13,CC,47,3,True,197492.5,197155.5,197155.5,1,OPTIMAL,5.18,223.37,84456,10534,curso
fixopt_passada_init60_total300,60,300,269.8,201417.0,189891.0,13,CS,22,4,True,197155.5,196842.5,196842.5,1,OPTIMAL,4.07,218.13,90436,4554,curso
fixopt_passada_init60_total300,60,300,269.8,201417.0,189891.0,13,EAS,45,5,True,196842.5,196732.5,196732.5,1,OPTIMAL,4.14,214.0,87538,7452,curso
fixopt_passada_init60_total300,60,300,269.8,201417.0,189891.0,13,ENF,18,6,True,196732.5,194603.5,194603.5,1,OPTIMAL,37.07,209.8,86480,8510,curso
fixopt_passada_init60_total300,60,300,269.8,201417.0,189891.0,13,FIL,15,7,True,194603.5,194018.5,194018.5,1,OPTIMAL,3.92,172.66,92230,2760,curso
fixopt_passada_init60_total300,60,300,269.8,201417.0,189891.0,13,GEO,10,8,True,194018.5,193985.5,193985.5,1,OPTIMAL,3.88,168.69,92920,2070,curso
fixopt_passada_init60_total300,60,300,269.8,201417.0,189891.0,13,HIS,24,9,True,193985.5,193207.5,193207.5,1,OPTIMAL,4.01,164.75,90206,4784,curso
fixopt_passada_init60_total300,60,300,269.8,201417.0,189891.0,13,LET,36,10,True,193207.5,190950.5,190950.5,1,OPTIMAL,111.38,160.68,85836,9154,curso
fixopt_passada_init60_total300,60,300,269.8,201417.0,189891.0,13,MAT,23,11,True,190950.5,190875.5,190875.5,1,OPTIMAL,4.0,49.24,90022,4968,curso
fixopt_passada_init60_total300,60,300,269.8,201417.0,189891.0,13,MED,41,12,True,190875.5,190190.0,190190.0,1,OPTIMAL,5.15,45.19,85606,9384,curso
fixopt_passada_init60_total300,60,300,269.8,201417.0,189891.0,13,PED,56,13,True,190190.0,189891.0,189891.0,1,OPTIMAL,9.71,39.98,82202,12788,curso
fixopt_passada_init120_total300,120,300,203.05,189517.5,187721.5,10,ADM,48,1,True,189517.5,189428.5,189428.5,1,OPTIMAL,4.64,176.15,85698,9292,curso
fixopt_passada_init120_total300,120,300,203.05,189517.5,187721.5,10,AGRO,51,2,True,189428.5,189289.5,189289.5,1,OPTIMAL,8.31,171.45,86250,8740,curso
fixopt_passada_init120_total300,120,300,203.05,189517.5,187721.5,10,CC,47,3,True,189289.5,189224.5,189224.5,1,OPTIMAL,4.8,163.08,84456,10534,curso
fixopt_passada_init120_total300,120,300,203.05,189517.5,187721.5,10,CS,22,4,False,189224.5,189224.5,189224.5,1,OPTIMAL,3.97,158.21,90436,4554,curso
fixopt_passada_init120_total300,120,300,203.05,189517.5,187721.5,10,EAS,45,5,True,189224.5,189209.5,189209.5,1,OPTIMAL,4.05,154.24,87538,7452,curso
fixopt_passada_init120_total300,120,300,203.05,189517.5,187721.5,10,ENF,18,6,True,189209.5,188169.5,188169.5,1,OPTIMAL,14.73,150.13,86480,8510,curso
fixopt_passada_init120_total300,120,300,203.05,189517.5,187721.5,10,FIL,15,7,False,188169.5,188169.5,188169.5,1,OPTIMAL,3.89,135.34,92230,2760,curso
fixopt_passada_init120_total300,120,300,203.05,189517.5,187721.5,10,GEO,10,8,False,188169.5,188169.5,188169.5,1,OPTIMAL,3.88,131.44,92920,2070,curso
fixopt_passada_init120_total300,120,300,203.05,189517.5,187721.5,10,HIS,24,9,True,188169.5,188159.5,188159.5,1,OPTIMAL,4.01,127.56,90206,4784,curso
fixopt_passada_init120_total300,120,300,203.05,189517.5,187721.5,10,LET,36,10,True,188159.5,187976.5,187976.5,1,OPTIMAL,8.77,123.48,85836,9154,curso
fixopt_passada_init120_total300,120,300,203.05,189517.5,187721.5,10,MAT,23,11,True,187976.5,187951.5,187951.5,1,OPTIMAL,4.08,114.63,90022,4968,curso
fixopt_passada_init120_total300,120,300,203.05,189517.5,187721.5,10,MED,41,12,True,187951.5,187771.5,187771.5,1,OPTIMAL,4.7,110.5,85606,9384,curso
fixopt_passada_init120_total300,120,300,203.05,189517.5,187721.5,10,PED,56,13,True,187771.5,187721.5,187721.5,1,OPTIMAL,8.72,105.74,82202,12788,curso
fixopt_passada_init180_total300,180,300,258.03,187132.5,186256.0,7,ADM,48,1,True,187132.5,187109.0,187109.0,1,OPTIMAL,5.1,116.2,85698,9292,curso
fixopt_passada_init180_total300,180,300,258.03,187132.5,186256.0,7,AGRO,51,2,True,187109.0,187078.0,187078.0,1,OPTIMAL,7.11,111.03,86250,8740,curso
fixopt_passada_init180_total300,180,300,258.03,187132.5,186256.0,7,CC,47,3,False,187078.0,187078.0,187078.0,1,OPTIMAL,4.43,103.85,84456,10534,curso
fixopt_passada_init180_total300,180,300,258.03,187132.5,186256.0,7,CS,22,4,True,187078.0,187053.0,187053.0,1,OPTIMAL,3.96,99.43,90436,4554,curso
fixopt_passada_init180_total300,180,300,258.03,187132.5,186256.0,7,EAS,45,5,False,187053.0,187053.0,187053.0,1,OPTIMAL,4.06,95.4,87538,7452,curso
fixopt_passada_init180_total300,180,300,258.03,187132.5,186256.0,7,ENF,18,6,True,187053.0,186356.0,186356.0,1,OPTIMAL,9.13,91.35,86480,8510,curso
fixopt_passada_init180_total300,180,300,258.03,187132.5,186256.0,7,FIL,15,7,False,186356.0,186356.0,186356.0,1,OPTIMAL,3.95,82.16,92230,2760,curso
fixopt_passada_init180_total300,180,300,258.03,187132.5,186256.0,7,GEO,10,8,False,186356.0,186356.0,186356.0,1,OPTIMAL,3.87,78.21,92920,2070,curso
fixopt_passada_init180_total300,180,300,258.03,187132.5,186256.0,7,HIS,24,9,False,186356.0,186356.0,186356.0,1,OPTIMAL,3.99,74.34,90206,4784,curso
fixopt_passada_init180_total300,180,300,258.03,187132.5,186256.0,7,LET,36,10,False,186356.0,186356.0,186356.0,1,OPTIMAL,7.97,70.35,85836,9154,curso
fixopt_passada_init180_total300,180,300,258.03,187132.5,186256.0,7,MAT,23,11,True,186356.0,186326.0,186326.0,1,OPTIMAL,4.05,62.38,90022,4968,curso
fixopt_passada_init180_total300,180,300,258.03,187132.5,186256.0,7,MED,41,12,True,186326.0,186301.0,186301.0,1,OPTIMAL,4.43,58.27,85606,9384,curso
fixopt_passada_init180_total300,180,300,258.03,187132.5,186256.0,7,PED,56,13,True,186301.0,186256.0,186256.0,1,OPTIMAL,11.75,53.79,82202,12788,curso
fixopt_passada_init240_total300,240,300,301.57,186551.5,186323.5,4,ADM,48,1,True,186551.5,186518.5,186518.5,1,OPTIMAL,4.41,55.37,85698,9292,curso
fixopt_passada_init240_total300,240,300,301.57,186551.5,186323.5,4,AGRO,51,2,False,186518.5,186518.5,186518.5,1,OPTIMAL,6.43,50.9,86250,8740,curso
fixopt_passada_init240_total300,240,300,301.57,186551.5,186323.5,4,CC,47,3,False,186518.5,186518.5,186518.5,1,OPTIMAL,4.43,44.48,84456,10534,curso
fixopt_passada_init240_total300,240,300,301.57,186551.5,186323.5,4,CS,22,4,False,186518.5,186518.5,186518.5,1,OPTIMAL,3.95,40.05,90436,4554,curso
fixopt_passada_init240_total300,240,300,301.57,186551.5,186323.5,4,EAS,45,5,True,186518.5,186503.5,186503.5,1,OPTIMAL,4.06,36.1,87538,7452,curso
fixopt_passada_init240_total300,240,300,301.57,186551.5,186323.5,4,ENF,18,6,True,186503.5,186353.5,186353.5,1,OPTIMAL,9.35,31.98,86480,8510,curso
fixopt_passada_init240_total300,240,300,301.57,186551.5,186323.5,4,FIL,15,7,False,186353.5,186353.5,186353.5,1,OPTIMAL,3.96,22.57,92230,2760,curso
fixopt_passada_init240_total300,240,300,301.57,186551.5,186323.5,4,GEO,10,8,False,186353.5,186353.5,186353.5,1,OPTIMAL,3.92,18.61,92920,2070,curso
fixopt_passada_init240_total300,240,300,301.57,186551.5,186323.5,4,HIS,24,9,False,186353.5,186353.5,186353.5,1,OPTIMAL,4.02,14.69,90206,4784,curso
fixopt_passada_init240_total300,240,300,301.57,186551.5,186323.5,4,LET,36,10,False,186353.5,186353.5,186353.5,1,OPTIMAL,8.15,10.66,85836,9154,curso
fixopt_passada_init240_total300,240,300,301.57,186551.5,186323.5,4,MAT,23,11,True,186353.5,186323.5,186323.5,1,OPTIMAL,4.03,2.52,90022,4968,curso
