passada,iteracao,vizinhanca,curso,disciplinas_livres,variaveis_x_livres,variaveis_x_fixadas,status_solver,objetivo_anterior,objetivo_candidato,melhorou,objetivo_incumbente,tempo_gasto_s
1,1,curso,ADM,48,9292,85698,OPTIMAL,186471.0,186460.0,True,186460.0,4.35
1,2,curso,AGRO,51,8740,86250,OPTIMAL,186460.0,186460.0,False,186460.0,7.33
1,3,curso,CC,47,10534,84456,OPTIMAL,186460.0,186460.0,False,186460.0,4.6
1,4,curso,CS,22,4554,90436,OPTIMAL,186460.0,186460.0,False,186460.0,4.13
1,5,curso,EAS,45,7452,87538,OPTIMAL,186460.0,186445.0,True,186445.0,4.17
1,6,curso,ENF,18,8510,86480,OPTIMAL,186445.0,186295.0,True,186295.0,10.05
1,7,curso,FIL,15,2760,92230,OPTIMAL,186295.0,186295.0,False,186295.0,4.02
1,8,curso,GEO,10,2070,92920,OPTIMAL,186295.0,186295.0,False,186295.0,4.06
1,9,curso,HIS,24,4784,90206,OPTIMAL,186295.0,186295.0,False,186295.0,4.08
1,10,curso,LET,36,9154,85836,OPTIMAL,186295.0,186295.0,False,186295.0,6.77
1,11,curso,MAT,23,4968,90022,OPTIMAL,186295.0,186265.0,True,186265.0,4.1
1,12,curso,MED,41,9384,85606,OPTIMAL,186265.0,186265.0,False,186265.0,4.72
1,13,curso,PED,56,12788,82202,OPTIMAL,186265.0,186198.0,True,186198.0,53.76
