passada,iteracao,vizinhanca,curso,disciplinas_livres,variaveis_x_livres,variaveis_x_fixadas,status_solver,objetivo_anterior,objetivo_candidato,melhorou,objetivo_incumbente,tempo_gasto_s,tempo_limite_subproblema_s
1,1,curso,ADM,48,9292,85698,OPTIMAL,187132.5,187109.0,True,187109.0,4.9,115.57
1,2,curso,AGRO,51,8740,86250,OPTIMAL,187109.0,187078.0,True,187078.0,6.97,110.6
1,3,curso,CC,47,10534,84456,OPTIMAL,187078.0,187078.0,False,187078.0,4.42,103.56
1,4,curso,CS,22,4554,90436,OPTIMAL,187078.0,187053.0,True,187053.0,3.96,99.15
1,5,curso,EAS,45,7452,87538,OPTIMAL,187053.0,187053.0,False,187053.0,3.98,95.12
1,6,curso,ENF,18,8510,86480,OPTIMAL,187053.0,186356.0,True,186356.0,8.75,91.15
1,7,curso,FIL,15,2760,92230,OPTIMAL,186356.0,186356.0,False,186356.0,3.95,82.33
1,8,curso,GEO,10,2070,92920,OPTIMAL,186356.0,186356.0,False,186356.0,3.86,78.38
1,9,curso,HIS,24,4784,90206,OPTIMAL,186356.0,186356.0,False,186356.0,4.03,74.52
1,10,curso,LET,36,9154,85836,OPTIMAL,186356.0,186356.0,False,186356.0,7.56,70.49
1,11,curso,MAT,23,4968,90022,OPTIMAL,186356.0,186326.0,True,186326.0,3.98,62.92
1,12,curso,MED,41,9384,85606,OPTIMAL,186326.0,186301.0,True,186301.0,4.41,58.88
1,13,curso,PED,56,12788,82202,OPTIMAL,186301.0,186256.0,True,186256.0,11.65,54.41
