passada,iteracao,vizinhanca,curso,disciplinas_livres,variaveis_x_livres,variaveis_x_fixadas,status_solver,objetivo_anterior,objetivo_candidato,melhorou,objetivo_incumbente,tempo_gasto_s,tempo_limite_subproblema_s
1,1,curso,ADM,48,9292,85698,OPTIMAL,189517.5,189428.5,True,189428.5,4.64,176.15
1,2,curso,AGRO,51,8740,86250,OPTIMAL,189428.5,189289.5,True,189289.5,8.31,171.45
1,3,curso,CC,47,10534,84456,OPTIMAL,189289.5,189224.5,True,189224.5,4.8,163.08
1,4,curso,CS,22,4554,90436,OPTIMAL,189224.5,189224.5,False,189224.5,3.97,158.21
1,5,curso,EAS,45,7452,87538,OPTIMAL,189224.5,189209.5,True,189209.5,4.05,154.24
1,6,curso,ENF,18,8510,86480,OPTIMAL,189209.5,188169.5,True,188169.5,14.73,150.13
1,7,curso,FIL,15,2760,92230,OPTIMAL,188169.5,188169.5,False,188169.5,3.89,135.34
1,8,curso,GEO,10,2070,92920,OPTIMAL,188169.5,188169.5,False,188169.5,3.88,131.44
1,9,curso,HIS,24,4784,90206,OPTIMAL,188169.5,188159.5,True,188159.5,4.01,127.56
1,10,curso,LET,36,9154,85836,OPTIMAL,188159.5,187976.5,True,187976.5,8.77,123.48
1,11,curso,MAT,23,4968,90022,OPTIMAL,187976.5,187951.5,True,187951.5,4.08,114.63
1,12,curso,MED,41,9384,85606,OPTIMAL,187951.5,187771.5,True,187771.5,4.7,110.5
1,13,curso,PED,56,12788,82202,OPTIMAL,187771.5,187721.5,True,187721.5,8.72,105.74
