ciclo,passada,iteracao,vizinhanca,recurso,disciplinas_livres,variaveis_x_livres,variaveis_x_fixadas,status_solver,objetivo_anterior,objetivo_candidato,melhorou,objetivo_incumbente,tempo_gasto_s,tempo_solver_s,tempo_limite_subproblema_s,curso
1,1,1,curso,ADM,48,9292,85698,OPTIMAL,186694.5,186661.5,True,186661.5,1.0,0.75,600.0,ADM
1,1,2,curso,AGRO,51,8740,86250,OPTIMAL,186661.5,186658.5,True,186658.5,3.32,2.98,600.0,AGRO
1,1,3,curso,CC,47,10534,84456,OPTIMAL,186658.5,186658.5,False,186658.5,1.01,0.69,600.0,CC
1,1,4,curso,CS,22,4554,90436,OPTIMAL,186658.5,186658.5,False,186658.5,0.64,0.31,600.0,CS
1,1,5,curso,EAS,45,7452,87538,OPTIMAL,186658.5,186648.5,True,186648.5,0.67,0.36,600.0,EAS
1,1,6,curso,ENF,18,8510,86480,OPTIMAL,186648.5,186355.5,True,186355.5,2.71,2.4,600.0,ENF
1,1,7,curso,FIL,15,2760,92230,OPTIMAL,186355.5,186355.5,False,186355.5,0.58,0.26,600.0,FIL
1,1,8,curso,GEO,10,2070,92920,OPTIMAL,186355.5,186355.5,False,186355.5,0.6,0.28,600.0,GEO
1,1,9,curso,HIS,24,4784,90206,OPTIMAL,186355.5,186355.5,False,186355.5,0.62,0.31,600.0,HIS
1,1,10,curso,LET,36,9154,85836,OPTIMAL,186355.5,186355.5,False,186355.5,3.05,2.74,600.0,LET
1,1,11,curso,MAT,23,4968,90022,OPTIMAL,186355.5,186325.5,True,186325.5,0.66,0.34,600.0,MAT
1,1,12,curso,MED,41,9384,85606,OPTIMAL,186325.5,186325.5,False,186325.5,1.11,0.78,600.0,MED
1,1,13,curso,PED,56,12788,82202,OPTIMAL,186325.5,186275.5,True,186275.5,2.52,2.2,600.0,PED
1,2,1,curso,ADM,48,9292,85698,OPTIMAL,186275.5,186275.5,False,186275.5,0.89,0.59,600.0,ADM
1,2,2,curso,AGRO,51,8740,86250,OPTIMAL,186275.5,186275.5,False,186275.5,3.55,3.23,600.0,AGRO
1,2,3,curso,CC,47,10534,84456,OPTIMAL,186275.5,186275.5,False,186275.5,1.11,0.78,600.0,CC
1,2,4,curso,CS,22,4554,90436,OPTIMAL,186275.5,186275.5,False,186275.5,0.6,0.29,600.0,CS
1,2,5,curso,EAS,45,7452,87538,OPTIMAL,186275.5,186275.5,False,186275.5,0.68,0.37,600.0,EAS
1,2,6,curso,ENF,18,8510,86480,OPTIMAL,186275.5,186275.5,False,186275.5,2.54,2.24,600.0,ENF
1,2,7,curso,FIL,15,2760,92230,OPTIMAL,186275.5,186275.5,False,186275.5,0.56,0.26,600.0,FIL
1,2,8,curso,GEO,10,2070,92920,OPTIMAL,186275.5,186275.5,False,186275.5,0.58,0.26,600.0,GEO
1,2,9,curso,HIS,24,4784,90206,OPTIMAL,186275.5,186275.5,False,186275.5,0.61,0.31,600.0,HIS
1,2,10,curso,LET,36,9154,85836,OPTIMAL,186275.5,186275.5,False,186275.5,2.47,2.16,600.0,LET
1,2,11,curso,MAT,23,4968,90022,OPTIMAL,186275.5,186275.5,False,186275.5,0.67,0.35,600.0,MAT
1,2,12,curso,MED,41,9384,85606,OPTIMAL,186275.5,186275.5,False,186275.5,1.14,0.84,600.0,MED
1,2,13,curso,PED,56,12788,82202,OPTIMAL,186275.5,186275.5,False,186275.5,3.85,3.54,600.0,PED
