ciclo,passada,iteracao,vizinhanca,recurso,disciplinas_livres,variaveis_x_livres,variaveis_x_fixadas,status_solver,objetivo_anterior,objetivo_candidato,melhorou,objetivo_incumbente,tempo_gasto_s,tempo_solver_s,tempo_limite_subproblema_s,curso,sementes,bloqueadores,quantidade_sementes,quantidade_bloqueadores,score_sementes,conflitos_encontrados,variaveis_x_estimadas,percentual_x_estimado,limite_variaveis_x,profundidade_expansao,falhas_consecutivas_antes
1,1,1,curso,ADM,48,9292,85698,OPTIMAL,186294.0,186289.0,True,186289.0,0.9,0.65,600.0,ADM,,,,,,,,,,,
1,1,2,curso,AGRO,51,8740,86250,OPTIMAL,186289.0,186286.0,True,186286.0,3.87,3.53,600.0,AGRO,,,,,,,,,,,
1,1,3,curso,CC,47,10534,84456,OPTIMAL,186286.0,186286.0,False,186286.0,1.07,0.72,600.0,CC,,,,,,,,,,,
1,1,4,curso,CS,22,4554,90436,OPTIMAL,186286.0,186286.0,False,186286.0,0.68,0.32,600.0,CS,,,,,,,,,,,
1,1,5,curso,EAS,45,7452,87538,OPTIMAL,186286.0,186286.0,False,186286.0,0.72,0.4,600.0,EAS,,,,,,,,,,,
1,1,6,curso,ENF,18,8510,86480,OPTIMAL,186286.0,186141.0,True,186141.0,5.32,4.99,600.0,ENF,,,,,,,,,,,
1,1,7,curso,FIL,15,2760,92230,OPTIMAL,186141.0,186141.0,False,186141.0,0.61,0.27,600.0,FIL,,,,,,,,,,,
1,1,8,curso,GEO,10,2070,92920,OPTIMAL,186141.0,186141.0,False,186141.0,0.62,0.28,600.0,GEO,,,,,,,,,,,
1,1,9,curso,HIS,24,4784,90206,OPTIMAL,186141.0,186141.0,False,186141.0,0.67,0.35,600.0,HIS,,,,,,,,,,,
1,1,10,curso,LET,36,9154,85836,OPTIMAL,186141.0,186141.0,False,186141.0,3.16,2.82,600.0,LET,,,,,,,,,,,
1,1,11,curso,MAT,23,4968,90022,OPTIMAL,186141.0,186141.0,False,186141.0,0.78,0.4,600.0,MAT,,,,,,,,,,,
1,1,12,curso,MED,41,9384,85606,OPTIMAL,186141.0,186141.0,False,186141.0,1.12,0.8,600.0,MED,,,,,,,,,,,
