passada,iteracao,vizinhanca,curso,disciplinas_livres,variaveis_x_livres,variaveis_x_fixadas,status_solver,objetivo_anterior,objetivo_candidato,melhorou,objetivo_incumbente,tempo_gasto_s,tempo_limite_subproblema_s
1,1,curso,ADM,48,9292,85698,OPTIMAL,186551.5,186518.5,True,186518.5,4.41,55.37
1,2,curso,AGRO,51,8740,86250,OPTIMAL,186518.5,186518.5,False,186518.5,6.43,50.9
1,3,curso,CC,47,10534,84456,OPTIMAL,186518.5,186518.5,False,186518.5,4.43,44.48
1,4,curso,CS,22,4554,90436,OPTIMAL,186518.5,186518.5,False,186518.5,3.95,40.05
1,5,curso,EAS,45,7452,87538,OPTIMAL,186518.5,186503.5,True,186503.5,4.06,36.1
1,6,curso,ENF,18,8510,86480,OPTIMAL,186503.5,186353.5,True,186353.5,9.35,31.98
1,7,curso,FIL,15,2760,92230,OPTIMAL,186353.5,186353.5,False,186353.5,3.96,22.57
1,8,curso,GEO,10,2070,92920,OPTIMAL,186353.5,186353.5,False,186353.5,3.92,18.61
1,9,curso,HIS,24,4784,90206,OPTIMAL,186353.5,186353.5,False,186353.5,4.02,14.69
1,10,curso,LET,36,9154,85836,OPTIMAL,186353.5,186353.5,False,186353.5,8.15,10.66
1,11,curso,MAT,23,4968,90022,OPTIMAL,186353.5,186323.5,True,186323.5,4.03,2.52
