passada,iteracao,vizinhanca,curso,disciplinas_livres,variaveis_x_livres,variaveis_x_fixadas,status_solver,objetivo_anterior,objetivo_candidato,melhorou,objetivo_incumbente,tempo_gasto_s,tempo_limite_subproblema_s
1,1,curso,ADM,48,9292,85698,OPTIMAL,201417.0,200105.0,True,200105.0,5.15,236.06
1,2,curso,AGRO,51,8740,86250,OPTIMAL,200105.0,197492.5,True,197492.5,7.42,230.85
1,3,curso,CC,47,10534,84456,OPTIMAL,197492.5,197155.5,True,197155.5,5.18,223.37
1,4,curso,CS,22,4554,90436,OPTIMAL,197155.5,196842.5,True,196842.5,4.07,218.13
1,5,curso,EAS,45,7452,87538,OPTIMAL,196842.5,196732.5,True,196732.5,4.14,214.0
1,6,curso,ENF,18,8510,86480,OPTIMAL,196732.5,194603.5,True,194603.5,37.07,209.8
1,7,curso,FIL,15,2760,92230,OPTIMAL,194603.5,194018.5,True,194018.5,3.92,172.66
1,8,curso,GEO,10,2070,92920,OPTIMAL,194018.5,193985.5,True,193985.5,3.88,168.69
1,9,curso,HIS,24,4784,90206,OPTIMAL,193985.5,193207.5,True,193207.5,4.01,164.75
1,10,curso,LET,36,9154,85836,OPTIMAL,193207.5,190950.5,True,190950.5,111.38,160.68
1,11,curso,MAT,23,4968,90022,OPTIMAL,190950.5,190875.5,True,190875.5,4.0,49.24
1,12,curso,MED,41,9384,85606,OPTIMAL,190875.5,190190.0,True,190190.0,5.15,45.19
1,13,curso,PED,56,12788,82202,OPTIMAL,190190.0,189891.0,True,189891.0,9.71,39.98
