ciclo,passada,iteracao,vizinhanca,recurso,disciplinas_livres,variaveis_x_livres,variaveis_x_fixadas,status_solver,objetivo_anterior,objetivo_candidato,melhorou,objetivo_incumbente,tempo_gasto_s,tempo_solver_s,tempo_limite_subproblema_s,sementes,bloqueadores,quantidade_sementes,quantidade_bloqueadores,score_sementes,conflitos_encontrados,variaveis_x_estimadas,percentual_x_estimado,limite_variaveis_x,profundidade_expansao,falhas_consecutivas_antes
1,1,1,penalidade_bloqueadores,seeds_GLA553_1-GLA379_1-GCH837_2-GLA385_1-GSA018_1,28,11362,83628,OPTIMAL,186294.0,186294.0,False,186294.0,0.71,0.47,600.0,GLA553_1;GLA379_1;GCH837_2;GLA385_1;GSA018_1,GCA238_1;GCH029_2;GCH090_2;GCH291_3;GCH619_1;GCH645_1;GCH855_1;GCS0687_1;GEX094_1;GEX560_1;GLA108_1;GLA358_1;GLA361_1;GLA363_1;GLA490_1;GLA500_1;GSA022_1;GSA0306_1;GSA0307_1;GSA0309_1;GSA045_1;GSA046_1;GSA297_1,5,23,15589.0,138,11362,0.119613,11398,1,0
1,1,2,penalidade_bloqueadores,seeds_GLA380_1-GLA395_1-GLA500_1-GLA506_1-GSA022_1,27,11362,83628,OPTIMAL,186294.0,186294.0,False,186294.0,0.78,0.46,600.0,GLA380_1;GLA395_1;GLA500_1;GLA506_1;GSA022_1,GCA039_1;GCA0683_2;GCA238_1;GCA244_1;GCB080_1;GCH090_2;GCH1412_1;GCH292_3;GCS010_1;GLA001_1;GLA104_3;GLA361_1;GLA362_1;GLA469_1;GLA490_1;GLA553_1;GSA019_1;GSA0307_1;GSA0308_1;GSA0309_1;GSA046_1;GSA297_1,5,22,11274.0,183,11362,0.119613,11398,1,1
1,1,3,penalidade_bloqueadores,seeds_GLA361_1-GLA362_1-GLA469_1-GLA490_1-GLA517_1,15,4232,90758,OPTIMAL,186294.0,186294.0,False,186294.0,0.63,0.3,600.0,GLA361_1;GLA362_1;GLA469_1;GLA490_1;GLA517_1,GCH621_1;GCH630_1;GEX094_1;GEX210_5;GEX212_2;GLA104_3;GLA500_1;GLA506_1;GLA550_1;GLA553_1,5,10,9850.0,58,4232,0.044552,11398,1,2
1,1,4,penalidade_bloqueadores,seeds_GLA550_1-GCH029_2-GCH291_3-GEX210_5-GLA363_1,14,2714,92276,OPTIMAL,186294.0,186294.0,False,186294.0,0.6,0.28,600.0,GLA550_1;GCH029_2;GCH291_3;GEX210_5;GLA363_1,GCH619_1;GCH630_1;GCH645_1;GEX212_2;GEX555_1;GLA108_1;GLA362_1;GLA469_1;GLA517_1,5,9,9030.0,44,2714,0.028571,11398,1,3
1,1,5,penalidade_bloqueadores,seeds_GCH292_4-GEX002_1-GLA001_2-GLA001_3-GLA104_5,25,4830,90160,OPTIMAL,186294.0,186294.0,False,186294.0,0.65,0.32,600.0,GCH292_4;GEX002_1;GLA001_2;GLA001_3;GLA104_5,GCH290_2;GEN253_1;GEN254_1;GEX055_1;GEX090_1;GEX105_1;GEX108_1;GEX195_1;GEX210_2;GEX213_1;GEX605_1;GEX605_2;GEX609_1;GEX609_2;GEX612_1;GEX615_1;GEX616_1;GLA104_2;GLA356_1;GLA357_1,5,20,8895.0,69,4830,0.050847,11398,1,4
1,1,6,penalidade_bloqueadores,seeds_GLA355_1-GLA356_1-GLA357_1-GCH011_1-GCH838_1,23,4416,90574,OPTIMAL,186294.0,186294.0,False,186294.0,0.63,0.31,600.0,GLA355_1;GLA356_1;GLA357_1;GCH011_1;GCH838_1,GCH621_1;GCH849_1;GCS580_1;GEN253_1;GEN254_1;GEX002_1;GEX055_1;GEX090_1;GEX108_1;GEX178_1;GEX208_3;GEX210_5;GEX555_1;GEX612_1;GEX613_1;GEX613_2;GLA001_2;GLA371_1,5,18,8885.0,72,4416,0.046489,11398,1,5
1,1,7,penalidade_bloqueadores,seeds_GLA358_1-GLA370_1-GLA371_1-GLA372_1-GLA382_1,18,3542,91448,OPTIMAL,186294.0,186266.0,True,186266.0,0.62,0.29,600.0,GLA358_1;GLA370_1;GLA371_1;GLA372_1;GLA382_1,GCH011_1;GCH291_2;GCH846_1;GEX208_3;GEX210_5;GEX212_2;GEX555_1;GLA104_3;GLA469_1;GLA500_1;GLA506_1;GLA517_1;GLA550_1,5,13,8870.0,53,3542,0.037288,11398,1,6
1,1,8,penalidade_bloqueadores,seeds_GLA553_1-GLA379_1-GSA018_1-GCH837_2-GLA385_1,27,11316,83674,OPTIMAL,186266.0,186266.0,False,186266.0,0.79,0.46,600.0,GLA553_1;GLA379_1;GSA018_1;GCH837_2;GLA385_1,GCH011_1;GCH029_2;GCH090_2;GCH291_3;GCH619_1;GCH645_1;GCH855_1;GEX094_1;GEX560_1;GLA108_1;GLA358_1;GLA361_1;GLA363_1;GLA490_1;GLA500_1;GSA022_1;GSA0306_1;GSA0307_1;GSA0309_1;GSA045_1;GSA046_1;GSA297_1,5,22,15497.0,142,11316,0.119128,11398,1,0
1,1,9,penalidade_bloqueadores,seeds_GLA380_1-GLA395_1-GLA500_1-GLA506_1-GSA022_1,27,11362,83628,OPTIMAL,186266.0,186266.0,False,186266.0,0.72,0.41,600.0,GLA380_1;GLA395_1;GLA500_1;GLA506_1;GSA022_1,GCA039_1;GCA0683_2;GCA238_1;GCA244_1;GCB080_1;GCH090_2;GCH1412_1;GCH292_3;GCS010_1;GLA001_1;GLA361_1;GLA362_1;GLA370_1;GLA469_1;GLA490_1;GLA553_1;GSA019_1;GSA0307_1;GSA0308_1;GSA0309_1;GSA046_1;GSA297_1,5,22,11142.0,183,11362,0.119613,11398,1,1
1,1,10,penalidade_bloqueadores,seeds_GLA361_1-GLA362_1-GLA469_1-GLA490_1-GLA517_1,15,4094,90896,OPTIMAL,186266.0,186266.0,False,186266.0,0.63,0.31,600.0,GLA361_1;GLA362_1;GLA469_1;GLA490_1;GLA517_1,GCH630_1;GCH838_1;GEX094_1;GEX210_5;GLA370_1;GLA372_1;GLA500_1;GLA506_1;GLA550_1;GLA553_1,5,10,9665.0,60,4094,0.043099,11398,1,2
1,1,11,penalidade_bloqueadores,seeds_GLA550_1-GCH029_2-GCH291_3-GEX210_5-GLA363_1,15,2898,92092,OPTIMAL,186266.0,186266.0,False,186266.0,0.61,0.28,600.0,GLA550_1;GCH029_2;GCH291_3;GEX210_5;GLA363_1,GCH011_1;GCH619_1;GCH630_1;GCH645_1;GEX555_1;GLA108_1;GLA362_1;GLA372_1;GLA469_1;GLA517_1,5,10,8925.0,48,2898,0.030508,11398,1,3
1,1,12,penalidade_bloqueadores,seeds_GCH292_4-GEX002_1-GLA001_2-GLA001_3-GLA104_5,25,4830,90160,OPTIMAL,186266.0,186266.0,False,186266.0,0.62,0.3,600.0,GCH292_4;GEX002_1;GLA001_2;GLA001_3;GLA104_5,GCH290_2;GEN253_1;GEN254_1;GEX055_1;GEX090_1;GEX105_1;GEX108_1;GEX195_1;GEX210_2;GEX213_1;GEX605_1;GEX605_2;GEX609_1;GEX609_2;GEX612_1;GEX615_1;GEX616_1;GLA104_2;GLA356_1;GLA357_1,5,20,8830.0,69,4830,0.050847,11398,1,4
1,1,13,penalidade_bloqueadores,seeds_GLA355_1-GLA356_1-GLA357_1-GCH011_1-GCH838_1,23,4646,90344,OPTIMAL,186266.0,186266.0,False,186266.0,0.62,0.3,600.0,GLA355_1;GLA356_1;GLA357_1;GCH011_1;GCH838_1,GCH291_3;GCH621_1;GCH849_1;GCS580_1;GEN253_1;GEN254_1;GEX002_1;GEX055_1;GEX090_1;GEX108_1;GEX178_1;GEX555_1;GEX612_1;GEX613_1;GEX613_2;GLA001_2;GLA108_1;GLA385_1,5,18,8820.0,72,4646,0.04891,11398,1,5
1,1,14,penalidade_bloqueadores,seeds_GLA358_1-GLA370_1-GLA371_1-GLA372_1-GLA382_1,20,5106,89884,OPTIMAL,186266.0,186266.0,False,186266.0,0.62,0.3,600.0,GLA358_1;GLA370_1;GLA371_1;GLA372_1;GLA382_1,GCH011_1;GCH291_2;GCH846_1;GEX208_3;GEX210_5;GEX212_2;GEX555_1;GLA104_3;GLA385_1;GLA469_1;GLA500_1;GLA506_1;GLA517_1;GLA550_1;GLA553_1,5,15,8805.0,61,5106,0.053753,11398,1,6
1,1,15,penalidade_bloqueadores,seeds_GLA393_1-GLA394_1-GLA396_1-GCH1128_1-GEX094_1,26,7728,87262,OPTIMAL,186266.0,186266.0,False,186266.0,0.71,0.4,600.0,GLA393_1;GLA394_1;GLA396_1;GCH1128_1;GEX094_1,GCH1088_1;GCH1105_1;GCH1113_1;GCH1115_1;GCH1122_1;GCH1131_1;GCH1283_1;GCH1412_1;GCH1433_1;GCH1448_1;GCH290_5;GCH293_5;GCH369_1;GCH370_1;GCH837_3;GCS525_1;GEX221_1;GEX777_1;GEX981_1;GEX997_1;GLA379_1,5,21,8438.0,90,7728,0.081356,11398,1,7
1,1,16,penalidade_bloqueadores,seeds_GEX638_1-GEX1104_1-GSA289_1-GEX392_1-GCA225_1,28,9614,85376,OPTIMAL,186266.0,186266.0,False,186266.0,0.68,0.38,600.0,GEX638_1;GEX1104_1;GSA289_1;GEX392_1;GCA225_1,GCA0683_1;GCA0683_2;GCA238_1;GCB057_1;GCH1412_1;GCS238_5;GEX1047_1;GLA0705_1;GLA0706_1;GLA379_1;GLA385_1;GSA022_1;GSA0308_1;GSA0374_1;GSA0377_1;GSA175_2;GSA181_1;GSA197_1;GSA285_1;GSA295_1;GSA297_1;GSA300_1;GSA301_1,5,23,6851.5,69,9614,0.101211,11398,1,8
1,1,17,penalidade_bloqueadores,seeds_GCA244_1-GCA060_1-GCA268_1-GCA038_1-GEN081_1,26,5934,89056,OPTIMAL,186266.0,186266.0,False,186266.0,0.67,0.37,600.0,GCA244_1;GCA060_1;GCA268_1;GCA038_1;GEN081_1,GCA039_1;GCA041_1;GCA0683_1;GCA0683_2;GCA0684_1;GCA238_1;GCA259_1;GCB057_1;GCB140_1;GCH292_6;GCH641_1;GEN090_1;GSA0308_1;GSA0374_1;GSA0377_1;GSA0378_1;GSA182_1;GSA196_1;GSA291_1;GSA295_1;GSA301_1,5,21,6017.5,97,5934,0.06247,11398,1,9
1,2,1,penalidade_bloqueadores,seeds_GLA553_1-GLA379_1-GSA018_1-GCH837_2-GLA385_1,27,11316,83674,OPTIMAL,186266.0,186266.0,False,186266.0,0.75,0.45,600.0,GLA553_1;GLA379_1;GSA018_1;GCH837_2;GLA385_1,GCH011_1;GCH029_2;GCH090_2;GCH291_3;GCH619_1;GCH645_1;GCH855_1;GEX094_1;GEX560_1;GLA108_1;GLA358_1;GLA361_1;GLA363_1;GLA490_1;GLA500_1;GSA022_1;GSA0306_1;GSA0307_1;GSA0309_1;GSA045_1;GSA046_1;GSA297_1,5,22,15497.0,142,11316,0.119128,11398,1,0
