ciclo,passada,iteracao,vizinhanca,recurso,disciplinas_livres,variaveis_x_livres,variaveis_x_fixadas,status_solver,objetivo_anterior,objetivo_candidato,melhorou,objetivo_incumbente,tempo_gasto_s,tempo_solver_s,tempo_limite_subproblema_s,curso_a,curso_b,ordem_cursos,seed_ordem_cursos,posicao_par,etapa_no_ciclo,etapa_completa,ciclo_completo,motivo_encerramento,tipo_registro,parametro_tipo_vizinhanca,parametro_tempo_modelo_inicial_s,parametro_tempo_heuristica_inicial_s,parametro_tempo_subproblema_s,parametro_tempo_total_maximo_s,parametro_apenas_uma_passada,parametro_salvar_candidatos,parametro_ordem_cursos_solicitada,parametro_seed_ordem_cursos_solicitada,parametro_ordem_cursos,parametro_seed_ordem_cursos,parametro_arquivo_horarios,parametro_arquivo_salas,parametro_arquivo_salas_preferenciais,parametro_diretorio_execucao,parametro_arquivo_melhor_solucao,parametro_arquivo_log_csv,parametro_arquivo_log_json,parametro_sequencia_etapas,parametro_etapa_1_ordem_cursos,parametro_etapa_1_seed,parametro_etapa_2_ordem_cursos,parametro_etapa_2_seed,parametro_gurobi_inicial_TimeLimit,parametro_gurobi_inicial_MIPFocus,parametro_gurobi_inicial_NoRelHeurTime,parametro_gurobi_subproblema_TimeLimit,parametro_gurobi_subproblema_MIPFocus,parametro_gurobi_subproblema_NoRelHeurTime,parametro_motivo_encerramento,parametro_ciclos_completos,dia,turno,curso
1,1,1,par_cursos,ADM+AGRO,99,18032,76958,OPTIMAL,186761.5,186725.5,True,186725.5,10.81,10.58,600.0,ADM,AGRO,alfabetica,,1,1,True,True,TEMPO_TOTAL,iteracao,hibrida_pares_dia_turno_curso,180.0,180.0,600.0,14400.0,False,False,alfabetica,,alfabetica,,./dados/2024_1/horarios_2024_1.xlsx,./dados/2024_1/salas_2024_1.csv,./dados/2024_1/salas_preferenciais_2024.1.xlsx,/Users/robertdrey/Documents/workspace/development/alocador_de_salas,resultados/experimentos/2024_1/hibridas_dia_turno_curso_pares/pares_dia_turno_curso_init180.sol,resultados/experimentos/2024_1/hibridas_dia_turno_curso_pares/pares_dia_turno_curso_init180.csv,resultados/experimentos/2024_1/hibridas_dia_turno_curso_pares/pares_dia_turno_curso_init180.json,par_cursos -> dia_turno_curso,alfabetica,,alfabetica,,180.0,1,180.0,600.0,1,0,TEMPO_TOTAL,2,,,
1,1,2,par_cursos,ADM+CC,95,19826,75164,OPTIMAL,186725.5,186725.5,False,186725.5,2.53,2.19,600.0,ADM,CC,alfabetica,,2,1,True,True,TEMPO_TOTAL,iteracao,hibrida_pares_dia_turno_curso,180.0,180.0,600.0,14400.0,False,False,alfabetica,,alfabetica,,./dados/2024_1/horarios_2024_1.xlsx,./dados/2024_1/salas_2024_1.csv,./dados/2024_1/salas_preferenciais_2024.1.xlsx,/Users/robertdrey/Documents/workspace/development/alocador_de_salas,resultados/experimentos/2024_1/hibridas_dia_turno_curso_pares/pares_dia_turno_curso_init180.sol,resultados/experimentos/2024_1/hibridas_dia_turno_curso_pares/pares_dia_turno_curso_init180.csv,resultados/experimentos/2024_1/hibridas_dia_turno_curso_pares/pares_dia_turno_curso_init180.json,par_cursos -> dia_turno_curso,alfabetica,,alfabetica,,180.0,1,180.0,600.0,1,0,TEMPO_TOTAL,2,,,
1,1,3,par_cursos,ADM+CS,70,13846,81144,OPTIMAL,186725.5,186725.5,False,186725.5,1.55,1.21,600.0,ADM,CS,alfabetica,,3,1,True,True,TEMPO_TOTAL,iteracao,hibrida_pares_dia_turno_curso,180.0,180.0,600.0,14400.0,False,False,alfabetica,,alfabetica,,./dados/2024_1/horarios_2024_1.xlsx,./dados/2024_1/salas_2024_1.csv,./dados/2024_1/salas_preferenciais_2024.1.xlsx,/Users/robertdrey/Documents/workspace/development/alocador_de_salas,resultados/experimentos/2024_1/hibridas_dia_turno_curso_pares/pares_dia_turno_curso_init180.sol,resultados/experimentos/2024_1/hibridas_dia_turno_curso_pares/pares_dia_turno_curso_init180.csv,resultados/experimentos/2024_1/hibridas_dia_turno_curso_pares/pares_dia_turno_curso_init180.json,par_cursos -> dia_turno_curso,alfabetica,,alfabetica,,180.0,1,180.0,600.0,1,0,TEMPO_TOTAL,2,,,
1,1,4,par_cursos,ADM+EAS,93,16744,78246,OPTIMAL,186725.5,186725.5,False,186725.5,1.41,1.08,600.0,ADM,EAS,alfabetica,,4,1,True,True,TEMPO_TOTAL,iteracao,hibrida_pares_dia_turno_curso,180.0,180.0,600.0,14400.0,False,False,alfabetica,,alfabetica,,./dados/2024_1/horarios_2024_1.xlsx,./dados/2024_1/salas_2024_1.csv,./dados/2024_1/salas_preferenciais_2024.1.xlsx,/Users/robertdrey/Documents/workspace/development/alocador_de_salas,resultados/experimentos/2024_1/hibridas_dia_turno_curso_pares/pares_dia_turno_curso_init180.sol,resultados/experimentos/2024_1/hibridas_dia_turno_curso_pares/pares_dia_turno_curso_init180.csv,resultados/experimentos/2024_1/hibridas_dia_turno_curso_pares/pares_dia_turno_curso_init180.json,par_cursos -> dia_turno_curso,alfabetica,,alfabetica,,180.0,1,180.0,600.0,1,0,TEMPO_TOTAL,2,,,
1,1,5,par_cursos,ADM+ENF,66,17802,77188,OPTIMAL,186725.5,186270.5,True,186270.5,28.69,28.34,600.0,ADM,ENF,alfabetica,,5,1,True,True,TEMPO_TOTAL,iteracao,hibrida_pares_dia_turno_curso,180.0,180.0,600.0,14400.0,False,False,alfabetica,,alfabetica,,./dados/2024_1/horarios_2024_1.xlsx,./dados/2024_1/salas_2024_1.csv,./dados/2024_1/salas_preferenciais_2024.1.xlsx,/Users/robertdrey/Documents/workspace/development/alocador_de_salas,resultados/experimentos/2024_1/hibridas_dia_turno_curso_pares/pares_dia_turno_curso_init180.sol,resultados/experimentos/2024_1/hibridas_dia_turno_curso_pares/pares_dia_turno_curso_init180.csv,resultados/experimentos/2024_1/hibridas_dia_turno_curso_pares/pares_dia_turno_curso_init180.json,par_cursos -> dia_turno_curso,alfabetica,,alfabetica,,180.0,1,180.0,600.0,1,0,TEMPO_TOTAL,2,,,
1,1,6,par_cursos,ADM+FIL,63,12052,82938,OPTIMAL,186270.5,186270.5,False,186270.5,1.04,0.72,600.0,ADM,FIL,alfabetica,,6,1,True,True,TEMPO_TOTAL,iteracao,hibrida_pares_dia_turno_curso,180.0,180.0,600.0,14400.0,False,False,alfabetica,,alfabetica,,./dados/2024_1/horarios_2024_1.xlsx,./dados/2024_1/salas_2024_1.csv,./dados/2024_1/salas_preferenciais_2024.1.xlsx,/Users/robertdrey/Documents/workspace/development/alocador_de_salas,resultados/experimentos/2024_1/hibridas_dia_turno_curso_pares/pares_dia_turno_curso_init180.sol,resultados/experimentos/2024_1/hibridas_dia_turno_curso_pares/pares_dia_turno_curso_init180.csv,resultados/experimentos/2024_1/hibridas_dia_turno_curso_pares/pares_dia_turno_curso_init180.json,par_cursos -> dia_turno_curso,alfabetica,,alfabetica,,180.0,1,180.0,600.0,1,0,TEMPO_TOTAL,2,,,
1,1,7,par_cursos,ADM+GEO,58,11362,83628,OPTIMAL,186270.5,186270.5,False,186270.5,1.05,0.72,600.0,ADM,GEO,alfabetica,,7,1,True,True,TEMPO_TOTAL,iteracao,hibrida_pares_dia_turno_curso,180.0,180.0,600.0,14400.0,False,False,alfabetica,,alfabetica,,./dados/2024_1/horarios_2024_1.xlsx,./dados/2024_1/salas_2024_1.csv,./dados/2024_1/salas_preferenciais_2024.1.xlsx,/Users/robertdrey/Documents/workspace/development/alocador_de_salas,resultados/experimentos/2024_1/hibridas_dia_turno_curso_pares/pares_dia_turno_curso_init180.sol,resultados/experimentos/2024_1/hibridas_dia_turno_curso_pares/pares_dia_turno_curso_init180.csv,resultados/experimentos/2024_1/hibridas_dia_turno_curso_pares/pares_dia_turno_curso_init180.json,par_cursos -> dia_turno_curso,alfabetica,,alfabetica,,180.0,1,180.0,600.0,1,0,TEMPO_TOTAL,2,,,
1,1,8,par_cursos,ADM+HIS,72,14076,80914,OPTIMAL,186270.5,186270.5,False,186270.5,1.73,1.37,600.0,ADM,HIS,alfabetica,,8,1,True,True,TEMPO_TOTAL,iteracao,hibrida_pares_dia_turno_curso,180.0,180.0,600.0,14400.0,False,False,alfabetica,,alfabetica,,./dados/2024_1/horarios_2024_1.xlsx,./dados/2024_1/salas_2024_1.csv,./dados/2024_1/salas_preferenciais_2024.1.xlsx,/Users/robertdrey/Documents/workspace/development/alocador_de_salas,resultados/experimentos/2024_1/hibridas_dia_turno_curso_pares/pares_dia_turno_curso_init180.sol,resultados/experimentos/2024_1/hibridas_dia_turno_curso_pares/pares_dia_turno_curso_init180.csv,resultados/experimentos/2024_1/hibridas_dia_turno_curso_pares/pares_dia_turno_curso_init180.json,par_cursos -> dia_turno_curso,alfabetica,,alfabetica,,180.0,1,180.0,600.0,1,0,TEMPO_TOTAL,2,,,
1,1,9,par_cursos,ADM+LET,84,18446,76544,OPTIMAL,186270.5,186254.5,True,186254.5,75.73,75.36,600.0,ADM,LET,alfabetica,,9,1,True,True,TEMPO_TOTAL,iteracao,hibrida_pares_dia_turno_curso,180.0,180.0,600.0,14400.0,False,False,alfabetica,,alfabetica,,./dados/2024_1/horarios_2024_1.xlsx,./dados/2024_1/salas_2024_1.csv,./dados/2024_1/salas_preferenciais_2024.1.xlsx,/Users/robertdrey/Documents/workspace/development/alocador_de_salas,resultados/experimentos/2024_1/hibridas_dia_turno_curso_pares/pares_dia_turno_curso_init180.sol,resultados/experimentos/2024_1/hibridas_dia_turno_curso_pares/pares_dia_turno_curso_init180.csv,resultados/experimentos/2024_1/hibridas_dia_turno_curso_pares/pares_dia_turno_curso_init180.json,par_cursos -> dia_turno_curso,alfabetica,,alfabetica,,180.0,1,180.0,600.0,1,0,TEMPO_TOTAL,2,,,
1,1,10,par_cursos,ADM+MAT,71,14260,80730,OPTIMAL,186254.5,186224.5,True,186224.5,1.29,0.98,600.0,ADM,MAT,alfabetica,,10,1,True,True,TEMPO_TOTAL,iteracao,hibrida_pares_dia_turno_curso,180.0,180.0,600.0,14400.0,False,False,alfabetica,,alfabetica,,./dados/2024_1/horarios_2024_1.xlsx,./dados/2024_1/salas_2024_1.csv,./dados/2024_1/salas_preferenciais_2024.1.xlsx,/Users/robertdrey/Documents/workspace/development/alocador_de_salas,resultados/experimentos/2024_1/hibridas_dia_turno_curso_pares/pares_dia_turno_curso_init180.sol,resultados/experimentos/2024_1/hibridas_dia_turno_curso_pares/pares_dia_turno_curso_init180.csv,resultados/experimentos/2024_1/hibridas_dia_turno_curso_pares/pares_dia_turno_curso_init180.json,par_cursos -> dia_turno_curso,alfabetica,,alfabetica,,180.0,1,180.0,600.0,1,0,TEMPO_TOTAL,2,,,
