ciclo,passada,iteracao,vizinhanca,recurso,disciplinas_livres,variaveis_x_livres,variaveis_x_fixadas,status_solver,objetivo_anterior,objetivo_candidato,melhorou,objetivo_incumbente,tempo_gasto_s,tempo_solver_s,tempo_limite_subproblema_s,curso,ordem_cursos,seed_ordem_cursos,posicao_ordem_curso
1,1,1,curso,PED,56,12788,82202,OPTIMAL,187842.5,187792.5,True,187792.5,7.78,7.46,600.0,PED,maior-demanda,,1
1,1,2,curso,AGRO,51,8740,86250,OPTIMAL,187792.5,187661.99985450925,True,187661.99985450925,4.06,3.64,600.0,AGRO,maior-demanda,,2
1,1,3,curso,ADM,48,9292,85698,OPTIMAL,187661.99985450925,187597.0,True,187597.0,2.19,1.72,600.0,ADM,maior-demanda,,3
1,1,4,curso,CC,47,10534,84456,OPTIMAL,187597.0,187597.0,False,187597.0,1.24,0.81,600.0,CC,maior-demanda,,4
1,1,5,curso,EAS,45,7452,87538,OPTIMAL,187597.0,187582.0,True,187582.0,0.8,0.43,600.0,EAS,maior-demanda,,5
1,1,6,curso,MED,41,9384,85606,OPTIMAL,187582.0,187582.0,False,187582.0,1.28,0.94,600.0,MED,maior-demanda,,6
1,1,7,curso,LET,36,9154,85836,OPTIMAL,187582.0,187560.0,True,187560.0,4.45,4.03,600.0,LET,maior-demanda,,7
1,1,8,curso,HIS,24,4784,90206,OPTIMAL,187560.0,187550.0,True,187550.0,0.92,0.5,600.0,HIS,maior-demanda,,8
1,1,9,curso,MAT,23,4968,90022,OPTIMAL,187550.0,187530.0,True,187530.0,0.74,0.38,600.0,MAT,maior-demanda,,9
1,1,10,curso,CS,22,4554,90436,OPTIMAL,187530.0,187161.5,True,187161.5,0.67,0.34,600.0,CS,maior-demanda,,10
1,1,11,curso,ENF,18,8510,86480,OPTIMAL,187161.5,186401.5,True,186401.5,5.2,4.83,600.0,ENF,maior-demanda,,11
1,1,12,curso,FIL,15,2760,92230,OPTIMAL,186401.5,186401.5,False,186401.5,0.75,0.33,600.0,FIL,maior-demanda,,12
1,1,13,curso,GEO,10,2070,92920,OPTIMAL,186401.5,186401.5,False,186401.5,0.62,0.29,600.0,GEO,maior-demanda,,13
1,2,1,curso,PED,56,12788,82202,OPTIMAL,186401.5,186401.5,False,186401.5,4.21,3.84,600.0,PED,maior-demanda,,1
1,2,2,curso,AGRO,51,8740,86250,OPTIMAL,186401.5,186401.5,False,186401.5,4.86,4.4,600.0,AGRO,maior-demanda,,2
1,2,3,curso,ADM,48,9292,85698,OPTIMAL,186401.5,186395.0,True,186395.0,1.57,1.12,600.0,ADM,maior-demanda,,3
1,2,4,curso,CC,47,10534,84456,OPTIMAL,186395.0,186395.0,False,186395.0,1.2,0.81,600.0,CC,maior-demanda,,4
1,2,5,curso,EAS,45,7452,87538,OPTIMAL,186395.0,186395.0,False,186395.0,0.73,0.37,600.0,EAS,maior-demanda,,5
1,2,6,curso,MED,41,9384,85606,OPTIMAL,186395.0,186395.0,False,186395.0,1.31,0.98,600.0,MED,maior-demanda,,6
1,2,7,curso,LET,36,9154,85836,OPTIMAL,186395.0,186395.0,False,186395.0,3.74,3.36,600.0,LET,maior-demanda,,7
1,2,8,curso,HIS,24,4784,90206,OPTIMAL,186395.0,186395.0,False,186395.0,0.85,0.42,600.0,HIS,maior-demanda,,8
