ciclo,passada,iteracao,vizinhanca,recurso,disciplinas_livres,variaveis_x_livres,variaveis_x_fixadas,status_solver,objetivo_anterior,objetivo_candidato,melhorou,objetivo_incumbente,tempo_gasto_s,tempo_solver_s,tempo_limite_subproblema_s,curso,ordem_cursos,seed_ordem_cursos,posicao_ordem_curso
1,1,1,curso,GEO,10,2070,92920,OPTIMAL,3264325.0,3228742.0,True,3228742.0,0.51,0.31,600.0,GEO,aleatoria,42,1
1,1,2,curso,FIL,15,2760,92230,OPTIMAL,3228742.0,3148270.0,True,3148270.0,0.59,0.29,600.0,FIL,aleatoria,42,2
1,1,3,curso,CC,47,10534,84456,OPTIMAL,3148270.0,2711477.5,True,2711477.5,2.41,2.11,600.0,CC,aleatoria,42,3
1,1,4,curso,LET,36,9154,85836,OPTIMAL,2711477.5,2433985.0,True,2433985.0,7.79,7.49,600.0,LET,aleatoria,42,4
1,1,5,curso,PED,56,12788,82202,TIME_LIMIT,2433985.0,2009488.5,True,2009488.5,600.48,600.17,600.0,PED,aleatoria,42,5
1,1,6,curso,ENF,18,8510,86480,OPTIMAL,2009488.5,1711266.5,True,1711266.5,6.1,5.73,600.0,ENF,aleatoria,42,6
1,1,7,curso,MED,41,9384,85606,OPTIMAL,1711266.5,1423662.5,True,1423662.5,3.32,3.01,600.0,MED,aleatoria,42,7
1,1,8,curso,HIS,24,4784,90206,OPTIMAL,1423662.5,1283212.5,True,1283212.5,0.67,0.34,600.0,HIS,aleatoria,42,8
1,1,9,curso,CS,22,4554,90436,OPTIMAL,1283212.5,1159424.5,True,1159424.5,0.71,0.37,600.0,CS,aleatoria,42,9
1,1,10,curso,EAS,45,7452,87538,OPTIMAL,1159424.5,984799.5,True,984799.5,0.97,0.64,600.0,EAS,aleatoria,42,10
1,1,11,curso,ADM,48,9292,85698,OPTIMAL,984799.5,659915.0,True,659915.0,34.58,34.27,600.0,ADM,aleatoria,42,11
1,1,12,curso,AGRO,51,8740,86250,OPTIMAL,659915.0,380239.0,True,380239.0,8.94,8.61,600.0,AGRO,aleatoria,42,12
1,1,13,curso,MAT,23,4968,90022,OPTIMAL,380239.0,227682.5,True,227682.5,1.99,1.65,600.0,MAT,aleatoria,42,13
1,2,1,curso,GEO,10,2070,92920,OPTIMAL,227682.5,227682.5,False,227682.5,0.62,0.28,600.0,GEO,aleatoria,42,1
1,2,2,curso,FIL,15,2760,92230,OPTIMAL,227682.5,227682.5,False,227682.5,0.59,0.26,600.0,FIL,aleatoria,42,2
1,2,3,curso,CC,47,10534,84456,OPTIMAL,227682.5,227672.5,True,227672.5,1.6,1.28,600.0,CC,aleatoria,42,3
1,2,4,curso,LET,36,9154,85836,OPTIMAL,227672.5,227672.5,False,227672.5,1.14,0.82,600.0,LET,aleatoria,42,4
1,2,5,curso,PED,56,12788,82202,OPTIMAL,227672.5,227672.5,False,227672.5,62.63,62.32,600.0,PED,aleatoria,42,5
1,2,6,curso,ENF,18,8510,86480,OPTIMAL,227672.5,227672.5,False,227672.5,2.66,2.34,600.0,ENF,aleatoria,42,6
1,2,7,curso,MED,41,9384,85606,OPTIMAL,227672.5,227672.5,False,227672.5,1.22,0.89,600.0,MED,aleatoria,42,7
1,2,8,curso,HIS,24,4784,90206,OPTIMAL,227672.5,227672.5,False,227672.5,0.65,0.32,600.0,HIS,aleatoria,42,8
1,2,9,curso,CS,22,4554,90436,OPTIMAL,227672.5,227609.5,True,227609.5,0.65,0.33,600.0,CS,aleatoria,42,9
1,2,10,curso,EAS,45,7452,87538,OPTIMAL,227609.5,227609.5,False,227609.5,0.65,0.34,600.0,EAS,aleatoria,42,10
1,2,11,curso,ADM,48,9292,85698,OPTIMAL,227609.5,227609.5,False,227609.5,20.65,20.33,600.0,ADM,aleatoria,42,11
1,2,12,curso,AGRO,51,8740,86250,OPTIMAL,227609.5,227604.5,True,227604.5,4.82,4.49,600.0,AGRO,aleatoria,42,12
1,2,13,curso,MAT,23,4968,90022,OPTIMAL,227604.5,227604.5,False,227604.5,1.03,0.69,600.0,MAT,aleatoria,42,13
1,3,1,curso,GEO,10,2070,92920,OPTIMAL,227604.5,227604.5,False,227604.5,0.62,0.28,600.0,GEO,aleatoria,42,1
1,3,2,curso,FIL,15,2760,92230,OPTIMAL,227604.5,227604.5,False,227604.5,0.59,0.27,600.0,FIL,aleatoria,42,2
1,3,3,curso,CC,47,10534,84456,OPTIMAL,227604.5,227604.5,False,227604.5,1.48,1.17,600.0,CC,aleatoria,42,3
1,3,4,curso,LET,36,9154,85836,OPTIMAL,227604.5,227604.5,False,227604.5,1.36,1.04,600.0,LET,aleatoria,42,4
1,3,5,curso,PED,56,12788,82202,OPTIMAL,227604.5,227604.5,False,227604.5,12.68,12.38,600.0,PED,aleatoria,42,5
1,3,6,curso,ENF,18,8510,86480,OPTIMAL,227604.5,227604.5,False,227604.5,2.65,2.33,600.0,ENF,aleatoria,42,6
1,3,7,curso,MED,41,9384,85606,OPTIMAL,227604.5,227604.5,False,227604.5,1.16,0.85,600.0,MED,aleatoria,42,7
1,3,8,curso,HIS,24,4784,90206,OPTIMAL,227604.5,227604.5,False,227604.5,0.65,0.32,600.0,HIS,aleatoria,42,8
1,3,9,curso,CS,22,4554,90436,OPTIMAL,227604.5,227604.5,False,227604.5,0.63,0.31,600.0,CS,aleatoria,42,9
1,3,10,curso,EAS,45,7452,87538,OPTIMAL,227604.5,227604.5,False,227604.5,0.65,0.33,600.0,EAS,aleatoria,42,10
1,3,11,curso,ADM,48,9292,85698,OPTIMAL,227604.5,227604.5,False,227604.5,21.63,21.31,600.0,ADM,aleatoria,42,11
1,3,12,curso,AGRO,51,8740,86250,OPTIMAL,227604.5,227604.5,False,227604.5,5.64,5.31,600.0,AGRO,aleatoria,42,12
1,3,13,curso,MAT,23,4968,90022,OPTIMAL,227604.5,227604.5,False,227604.5,0.98,0.65,600.0,MAT,aleatoria,42,13
