ciclo,passada,iteracao,vizinhanca,recurso,disciplinas_livres,variaveis_x_livres,variaveis_x_fixadas,status_solver,objetivo_anterior,objetivo_candidato,melhorou,objetivo_incumbente,tempo_gasto_s,tempo_solver_s,tempo_limite_subproblema_s,curso,ordem_cursos,seed_ordem_cursos,posicao_ordem_curso
1,1,1,curso,ADM,48,9292,85698,OPTIMAL,3264325.0,2924498.0,True,2924498.0,2.04,1.84,600.0,ADM,alfabetica,,1
1,1,2,curso,AGRO,51,8740,86250,OPTIMAL,2924498.0,2622041.0,True,2622041.0,1.06,0.77,600.0,AGRO,alfabetica,,2
1,1,3,curso,CC,47,10534,84456,OPTIMAL,2622041.0,2185164.0,True,2185164.0,16.12,15.83,600.0,CC,alfabetica,,3
1,1,4,curso,CS,22,4554,90436,OPTIMAL,2185164.0,2057294.0,True,2057294.0,0.69,0.4,600.0,CS,alfabetica,,4
1,1,5,curso,EAS,45,7452,87538,OPTIMAL,2057294.0,1884482.0,True,1884482.0,1.1,0.81,600.0,EAS,alfabetica,,5
1,1,6,curso,ENF,18,8510,86480,OPTIMAL,1884482.0,1591366.0,True,1591366.0,3.62,3.33,600.0,ENF,alfabetica,,6
1,1,7,curso,FIL,15,2760,92230,OPTIMAL,1591366.0,1511138.5,True,1511138.5,0.62,0.32,600.0,FIL,alfabetica,,7
1,1,8,curso,GEO,10,2070,92920,OPTIMAL,1511138.5,1475557.5,True,1475557.5,0.61,0.31,600.0,GEO,alfabetica,,8
1,1,9,curso,HIS,24,4784,90206,OPTIMAL,1475557.5,1339929.5,True,1339929.5,0.68,0.39,600.0,HIS,alfabetica,,9
1,1,10,curso,LET,36,9154,85836,OPTIMAL,1339929.5,1062603.5,True,1062603.5,5.6,5.31,600.0,LET,alfabetica,,10
1,1,11,curso,MAT,23,4968,90022,OPTIMAL,1062603.5,901690.0,True,901690.0,0.71,0.41,600.0,MAT,alfabetica,,11
1,1,12,curso,MED,41,9384,85606,TIME_LIMIT,901690.0,631440.0,True,631440.0,600.38,600.05,600.0,MED,alfabetica,,12
1,1,13,curso,PED,56,12788,82202,TIME_LIMIT,631440.0,219996.0,True,219996.0,600.42,600.04,600.0,PED,alfabetica,,13
1,2,1,curso,ADM,48,9292,85698,OPTIMAL,219996.0,219981.0,True,219981.0,0.98,0.63,600.0,ADM,alfabetica,,1
1,2,2,curso,AGRO,51,8740,86250,OPTIMAL,219981.0,219966.0,True,219966.0,0.89,0.54,600.0,AGRO,alfabetica,,2
1,2,3,curso,CC,47,10534,84456,OPTIMAL,219966.0,219966.0,False,219966.0,1.75,1.43,600.0,CC,alfabetica,,3
1,2,4,curso,CS,22,4554,90436,OPTIMAL,219966.0,219931.0,True,219931.0,0.67,0.33,600.0,CS,alfabetica,,4
1,2,5,curso,EAS,45,7452,87538,OPTIMAL,219931.0,218136.0,True,218136.0,0.79,0.45,600.0,EAS,alfabetica,,5
1,2,6,curso,ENF,18,8510,86480,OPTIMAL,218136.0,218136.0,False,218136.0,1.17,0.85,600.0,ENF,alfabetica,,6
1,2,7,curso,FIL,15,2760,92230,OPTIMAL,218136.0,218136.0,False,218136.0,0.61,0.27,600.0,FIL,alfabetica,,7
