ciclo,passada,iteracao,vizinhanca,recurso,disciplinas_livres,variaveis_x_livres,variaveis_x_fixadas,status_solver,objetivo_anterior,objetivo_candidato,melhorou,objetivo_incumbente,tempo_gasto_s,tempo_solver_s,tempo_limite_subproblema_s,curso,ordem_cursos,seed_ordem_cursos,posicao_ordem_curso
1,1,1,curso,PED,56,12788,82202,OPTIMAL,3264325.0,2827433.0,True,2827433.0,3.81,3.58,600.0,PED,maior-demanda,,1
1,1,2,curso,AGRO,51,8740,86250,OPTIMAL,2827433.0,2524991.0,True,2524991.0,2.39,2.04,600.0,AGRO,maior-demanda,,2
1,1,3,curso,ADM,48,9292,85698,OPTIMAL,2524991.0,2189094.5,True,2189094.5,2.35,2.01,600.0,ADM,maior-demanda,,3
1,1,4,curso,CC,47,10534,84456,OPTIMAL,2189094.5,1752218.5,True,1752218.5,21.45,21.1,600.0,CC,maior-demanda,,4
1,1,5,curso,EAS,45,7452,87538,OPTIMAL,1752218.5,1579406.5,True,1579406.5,1.18,0.83,600.0,EAS,maior-demanda,,5
1,1,6,curso,MED,41,9384,85606,OPTIMAL,1579406.5,1305133.5,True,1305133.5,70.95,70.55,600.0,MED,maior-demanda,,6
1,1,7,curso,LET,36,9154,85836,OPTIMAL,1305133.5,1027761.5,True,1027761.5,21.26,20.85,600.0,LET,maior-demanda,,7
1,1,8,curso,HIS,24,4784,90206,OPTIMAL,1027761.5,887913.5,True,887913.5,0.83,0.43,600.0,HIS,maior-demanda,,8
1,1,9,curso,MAT,23,4968,90022,OPTIMAL,887913.5,735912.5,True,735912.5,1.0,0.6,600.0,MAT,maior-demanda,,9
1,1,10,curso,CS,22,4554,90436,OPTIMAL,735912.5,613565.5,True,613565.5,1.45,1.02,600.0,CS,maior-demanda,,10
1,1,11,curso,ENF,18,8510,86480,OPTIMAL,613565.5,332518.5,True,332518.5,12.81,12.41,600.0,ENF,maior-demanda,,11
1,1,12,curso,FIL,15,2760,92230,OPTIMAL,332518.5,258173.5,True,258173.5,0.81,0.41,600.0,FIL,maior-demanda,,12
1,1,13,curso,GEO,10,2070,92920,OPTIMAL,258173.5,224368.5,True,224368.5,0.76,0.38,600.0,GEO,maior-demanda,,13
1,2,1,curso,PED,56,12788,82202,OPTIMAL,224368.5,224108.5,True,224108.5,2.75,2.35,600.0,PED,maior-demanda,,1
1,2,2,curso,AGRO,51,8740,86250,OPTIMAL,224108.5,224088.5,True,224088.5,0.92,0.53,600.0,AGRO,maior-demanda,,2
1,2,3,curso,ADM,48,9292,85698,OPTIMAL,224088.5,224073.5,True,224073.5,1.84,1.48,600.0,ADM,maior-demanda,,3
1,2,4,curso,CC,47,10534,84456,OPTIMAL,224073.5,224073.5,False,224073.5,2.08,1.7,600.0,CC,maior-demanda,,4
1,2,5,curso,EAS,45,7452,87538,OPTIMAL,224073.5,223263.5,True,223263.5,1.24,0.86,600.0,EAS,maior-demanda,,5
1,2,6,curso,MED,41,9384,85606,OPTIMAL,223263.5,223257.0,True,223257.0,6.21,5.8,600.0,MED,maior-demanda,,6
1,2,7,curso,LET,36,9154,85836,OPTIMAL,223257.0,223257.0,False,223257.0,1.24,0.88,600.0,LET,maior-demanda,,7
1,2,8,curso,HIS,24,4784,90206,OPTIMAL,223257.0,223257.0,False,223257.0,0.7,0.34,600.0,HIS,maior-demanda,,8
1,2,9,curso,MAT,23,4968,90022,OPTIMAL,223257.0,217817.0,True,217817.0,0.81,0.45,600.0,MAT,maior-demanda,,9
