ciclo,passada,iteracao,vizinhanca,recurso,disciplinas_livres,variaveis_x_livres,variaveis_x_fixadas,status_solver,objetivo_anterior,objetivo_candidato,melhorou,objetivo_incumbente,tempo_gasto_s,tempo_solver_s,tempo_limite_subproblema_s,curso,ordem_cursos,seed_ordem_cursos,posicao_ordem_curso
1,1,1,curso,GEO,10,2070,92920,OPTIMAL,186761.5,186761.5,False,186761.5,0.57,0.3,600.0,GEO,aleatoria,42,1
1,1,2,curso,FIL,15,2760,92230,OPTIMAL,186761.5,186761.5,False,186761.5,0.66,0.29,600.0,FIL,aleatoria,42,2
1,1,3,curso,CC,47,10534,84456,OPTIMAL,186761.5,186761.5,False,186761.5,1.17,0.8,600.0,CC,aleatoria,42,3
1,1,4,curso,LET,36,9154,85836,OPTIMAL,186761.5,186761.5,False,186761.5,3.5,3.11,600.0,LET,aleatoria,42,4
1,1,5,curso,PED,56,12788,82202,OPTIMAL,186761.5,186711.5,True,186711.5,4.14,3.78,600.0,PED,aleatoria,42,5
1,1,6,curso,ENF,18,8510,86480,OPTIMAL,186711.5,186256.5,True,186256.5,3.0,2.65,600.0,ENF,aleatoria,42,6
1,1,7,curso,MED,41,9384,85606,OPTIMAL,186256.5,186256.5,False,186256.5,1.22,0.87,600.0,MED,aleatoria,42,7
1,1,8,curso,HIS,24,4784,90206,OPTIMAL,186256.5,186256.5,False,186256.5,0.66,0.33,600.0,HIS,aleatoria,42,8
1,1,9,curso,CS,22,4554,90436,OPTIMAL,186256.5,186256.5,False,186256.5,0.64,0.31,600.0,CS,aleatoria,42,9
1,1,10,curso,EAS,45,7452,87538,OPTIMAL,186256.5,186256.5,False,186256.5,0.66,0.34,600.0,EAS,aleatoria,42,10
1,1,11,curso,ADM,48,9292,85698,OPTIMAL,186256.5,186223.5,True,186223.5,1.03,0.69,600.0,ADM,aleatoria,42,11
1,1,12,curso,AGRO,51,8740,86250,OPTIMAL,186223.5,186220.5,True,186220.5,3.47,3.11,600.0,AGRO,aleatoria,42,12
1,1,13,curso,MAT,23,4968,90022,OPTIMAL,186220.5,186190.5,True,186190.5,0.72,0.38,600.0,MAT,aleatoria,42,13
1,2,1,curso,GEO,10,2070,92920,OPTIMAL,186190.5,186190.5,False,186190.5,0.65,0.29,600.0,GEO,aleatoria,42,1
1,2,2,curso,FIL,15,2760,92230,OPTIMAL,186190.5,186190.5,False,186190.5,0.64,0.28,600.0,FIL,aleatoria,42,2
1,2,3,curso,CC,47,10534,84456,OPTIMAL,186190.5,186190.5,False,186190.5,1.16,0.8,600.0,CC,aleatoria,42,3
1,2,4,curso,LET,36,9154,85836,OPTIMAL,186190.5,186186.5,True,186186.5,4.38,3.97,600.0,LET,aleatoria,42,4
1,2,5,curso,PED,56,12788,82202,OPTIMAL,186186.5,186186.5,False,186186.5,3.39,3.04,600.0,PED,aleatoria,42,5
1,2,6,curso,ENF,18,8510,86480,OPTIMAL,186186.5,186186.5,False,186186.5,2.05,1.7,600.0,ENF,aleatoria,42,6
1,2,7,curso,MED,41,9384,85606,OPTIMAL,186186.5,186186.5,False,186186.5,1.26,0.91,600.0,MED,aleatoria,42,7
1,2,8,curso,HIS,24,4784,90206,OPTIMAL,186186.5,186186.5,False,186186.5,0.73,0.36,600.0,HIS,aleatoria,42,8
1,2,9,curso,CS,22,4554,90436,OPTIMAL,186186.5,186186.5,False,186186.5,0.64,0.31,600.0,CS,aleatoria,42,9
1,2,10,curso,EAS,45,7452,87538,OPTIMAL,186186.5,186186.5,False,186186.5,0.66,0.34,600.0,EAS,aleatoria,42,10
1,2,11,curso,ADM,48,9292,85698,OPTIMAL,186186.5,186186.5,False,186186.5,0.98,0.66,600.0,ADM,aleatoria,42,11
1,2,12,curso,AGRO,51,8740,86250,OPTIMAL,186186.5,186186.5,False,186186.5,3.53,3.2,600.0,AGRO,aleatoria,42,12
1,2,13,curso,MAT,23,4968,90022,OPTIMAL,186186.5,186186.5,False,186186.5,0.67,0.35,600.0,MAT,aleatoria,42,13
