ciclo,passada,iteracao,vizinhanca,recurso,disciplinas_livres,variaveis_x_livres,variaveis_x_fixadas,status_solver,objetivo_anterior,objetivo_candidato,melhorou,objetivo_incumbente,tempo_gasto_s,tempo_solver_s,tempo_limite_subproblema_s,curso,ordem_cursos,seed_ordem_cursos,posicao_ordem_curso
1,1,1,curso,PED,56,12788,82202,OPTIMAL,186694.5,186644.5,True,186644.5,5.45,5.19,600.0,PED,maior-demanda,,1
1,1,2,curso,AGRO,51,8740,86250,OPTIMAL,186644.5,186644.5,False,186644.5,3.38,3.02,600.0,AGRO,maior-demanda,,2
1,1,3,curso,ADM,48,9292,85698,OPTIMAL,186644.5,186611.5,True,186611.5,1.14,0.77,600.0,ADM,maior-demanda,,3
1,1,4,curso,CC,47,10534,84456,OPTIMAL,186611.5,186611.5,False,186611.5,1.12,0.75,600.0,CC,maior-demanda,,4
1,1,5,curso,EAS,45,7452,87538,OPTIMAL,186611.5,186601.5,True,186601.5,0.71,0.36,600.0,EAS,maior-demanda,,5
1,1,6,curso,MED,41,9384,85606,OPTIMAL,186601.5,186601.5,False,186601.5,1.28,0.95,600.0,MED,maior-demanda,,6
1,1,7,curso,LET,36,9154,85836,OPTIMAL,186601.5,186601.5,False,186601.5,3.58,3.23,600.0,LET,maior-demanda,,7
1,1,8,curso,HIS,24,4784,90206,OPTIMAL,186601.5,186601.5,False,186601.5,0.72,0.35,600.0,HIS,maior-demanda,,8
1,1,9,curso,MAT,23,4968,90022,OPTIMAL,186601.5,186571.5,True,186571.5,0.67,0.34,600.0,MAT,maior-demanda,,9
1,1,10,curso,CS,22,4554,90436,OPTIMAL,186571.5,186571.5,False,186571.5,0.63,0.3,600.0,CS,maior-demanda,,10
1,1,11,curso,ENF,18,8510,86480,OPTIMAL,186571.5,186278.5,True,186278.5,4.65,4.32,600.0,ENF,maior-demanda,,11
1,1,12,curso,FIL,15,2760,92230,OPTIMAL,186278.5,186278.5,False,186278.5,0.62,0.27,600.0,FIL,maior-demanda,,12
1,1,13,curso,GEO,10,2070,92920,OPTIMAL,186278.5,186278.5,False,186278.5,0.62,0.28,600.0,GEO,maior-demanda,,13
1,2,1,curso,PED,56,12788,82202,OPTIMAL,186278.5,186278.5,False,186278.5,2.87,2.55,600.0,PED,maior-demanda,,1
1,2,2,curso,AGRO,51,8740,86250,OPTIMAL,186278.5,186275.5,True,186275.5,2.91,2.57,600.0,AGRO,maior-demanda,,2
1,2,3,curso,ADM,48,9292,85698,OPTIMAL,186275.5,186275.5,False,186275.5,0.98,0.63,600.0,ADM,maior-demanda,,3
1,2,4,curso,CC,47,10534,84456,OPTIMAL,186275.5,186275.5,False,186275.5,1.07,0.74,600.0,CC,maior-demanda,,4
1,2,5,curso,EAS,45,7452,87538,OPTIMAL,186275.5,186275.5,False,186275.5,0.77,0.43,600.0,EAS,maior-demanda,,5
1,2,6,curso,MED,41,9384,85606,OPTIMAL,186275.5,186275.5,False,186275.5,1.12,0.8,600.0,MED,maior-demanda,,6
