ciclo,passada,iteracao,vizinhanca,recurso,disciplinas_livres,variaveis_x_livres,variaveis_x_fixadas,status_solver,objetivo_anterior,objetivo_candidato,melhorou,objetivo_incumbente,tempo_gasto_s,tempo_solver_s,tempo_limite_subproblema_s,dia,turno
1,1,1,dia_turno,2_M,38,10212,84778,OPTIMAL,186694.5,186619.5,True,186619.5,1.66,1.42,600.0,2,M
1,1,2,dia_turno,2_T,34,12006,82984,OPTIMAL,186619.5,186619.5,False,186619.5,1.35,1.03,600.0,2,T
1,1,3,dia_turno,2_N,41,9522,85468,OPTIMAL,186619.5,186619.5,False,186619.5,1.31,0.99,600.0,2,N
1,1,4,dia_turno,3_M,36,10442,84548,OPTIMAL,186619.5,186619.5,False,186619.5,1.81,1.48,600.0,3,M
1,1,5,dia_turno,3_T,34,11684,83306,OPTIMAL,186619.5,186534.0,True,186534.0,1.17,0.86,600.0,3,T
1,1,6,dia_turno,3_N,40,7912,87078,OPTIMAL,186534.0,186534.0,False,186534.0,1.59,1.27,600.0,3,N
1,1,7,dia_turno,4_M,35,11224,83766,OPTIMAL,186534.0,186534.0,False,186534.0,1.45,1.13,600.0,4,M
1,1,8,dia_turno,4_T,29,10994,83996,OPTIMAL,186534.0,186534.0,False,186534.0,0.96,0.65,600.0,4,T
1,1,9,dia_turno,4_N,42,9890,85100,OPTIMAL,186534.0,186534.0,False,186534.0,1.73,1.41,600.0,4,N
1,1,10,dia_turno,5_M,38,11638,83352,OPTIMAL,186534.0,186534.0,False,186534.0,1.61,1.3,600.0,5,M
1,1,11,dia_turno,5_T,31,10902,84088,OPTIMAL,186534.0,186534.0,False,186534.0,1.08,0.76,600.0,5,T
1,1,12,dia_turno,5_N,39,8096,86894,OPTIMAL,186534.0,186534.0,False,186534.0,1.45,1.13,600.0,5,N
1,1,13,dia_turno,6_M,32,7222,87768,OPTIMAL,186534.0,186534.0,False,186534.0,1.22,0.9,600.0,6,M
1,1,14,dia_turno,6_T,30,11638,83352,OPTIMAL,186534.0,186534.0,False,186534.0,1.25,0.94,600.0,6,T
1,1,15,dia_turno,6_N,39,8602,86388,OPTIMAL,186534.0,186534.0,False,186534.0,1.54,1.22,600.0,6,N
1,1,16,dia_turno,7_M,19,8372,86618,OPTIMAL,186534.0,186534.0,False,186534.0,0.88,0.55,600.0,7,M
1,1,17,dia_turno,7_T,9,4646,90344,OPTIMAL,186534.0,186534.0,False,186534.0,0.63,0.32,600.0,7,T
1,1,18,dia_turno,7_N,3,2208,92782,OPTIMAL,186534.0,186534.0,False,186534.0,0.6,0.29,600.0,7,N
1,2,1,dia_turno,2_M,38,10212,84778,OPTIMAL,186534.0,186534.0,False,186534.0,1.55,1.23,600.0,2,M
1,2,2,dia_turno,2_T,34,12006,82984,OPTIMAL,186534.0,186534.0,False,186534.0,1.44,1.12,600.0,2,T
1,2,3,dia_turno,2_N,41,9522,85468,OPTIMAL,186534.0,186534.0,False,186534.0,1.29,0.98,600.0,2,N
1,2,4,dia_turno,3_M,36,10442,84548,OPTIMAL,186534.0,186534.0,False,186534.0,1.72,1.41,600.0,3,M
1,2,5,dia_turno,3_T,34,11684,83306,OPTIMAL,186534.0,186534.0,False,186534.0,1.11,0.8,600.0,3,T
1,2,6,dia_turno,3_N,40,7912,87078,OPTIMAL,186534.0,186534.0,False,186534.0,1.55,1.24,600.0,3,N
1,2,7,dia_turno,4_M,35,11224,83766,OPTIMAL,186534.0,186534.0,False,186534.0,1.42,1.11,600.0,4,M
1,2,8,dia_turno,4_T,29,10994,83996,OPTIMAL,186534.0,186534.0,False,186534.0,0.96,0.65,600.0,4,T
1,2,9,dia_turno,4_N,42,9890,85100,OPTIMAL,186534.0,186534.0,False,186534.0,1.65,1.35,600.0,4,N
1,2,10,dia_turno,5_M,38,11638,83352,OPTIMAL,186534.0,186534.0,False,186534.0,1.59,1.28,600.0,5,M
1,2,11,dia_turno,5_T,31,10902,84088,OPTIMAL,186534.0,186534.0,False,186534.0,1.06,0.75,600.0,5,T
1,2,12,dia_turno,5_N,39,8096,86894,OPTIMAL,186534.0,186534.0,False,186534.0,1.43,1.11,600.0,5,N
1,2,13,dia_turno,6_M,32,7222,87768,OPTIMAL,186534.0,186534.0,False,186534.0,1.24,0.92,600.0,6,M
1,2,14,dia_turno,6_T,30,11638,83352,OPTIMAL,186534.0,186534.0,False,186534.0,1.22,0.91,600.0,6,T
1,2,15,dia_turno,6_N,39,8602,86388,OPTIMAL,186534.0,186534.0,False,186534.0,1.51,1.2,600.0,6,N
1,2,16,dia_turno,7_M,19,8372,86618,OPTIMAL,186534.0,186534.0,False,186534.0,0.82,0.52,600.0,7,M
1,2,17,dia_turno,7_T,9,4646,90344,OPTIMAL,186534.0,186534.0,False,186534.0,0.64,0.33,600.0,7,T
1,2,18,dia_turno,7_N,3,2208,92782,OPTIMAL,186534.0,186534.0,False,186534.0,0.61,0.3,600.0,7,N
