ciclo,passada,iteracao,vizinhanca,recurso,disciplinas_livres,variaveis_x_livres,variaveis_x_fixadas,status_solver,objetivo_anterior,objetivo_candidato,melhorou,objetivo_incumbente,tempo_gasto_s,tempo_solver_s,tempo_limite_subproblema_s,curso,dia,turno
1,1,1,curso,ADM,48,9292,85698,OPTIMAL,186761.5,186728.5,True,186728.5,0.96,0.71,600.0,ADM,,
1,1,2,curso,AGRO,51,8740,86250,OPTIMAL,186728.5,186725.5,True,186725.5,3.7,3.31,600.0,AGRO,,
1,1,3,curso,CC,47,10534,84456,OPTIMAL,186725.5,186725.5,False,186725.5,1.1,0.76,600.0,CC,,
1,1,4,curso,CS,22,4554,90436,OPTIMAL,186725.5,186725.5,False,186725.5,0.65,0.31,600.0,CS,,
1,1,5,curso,EAS,45,7452,87538,OPTIMAL,186725.5,186725.5,False,186725.5,0.66,0.34,600.0,EAS,,
1,1,6,curso,ENF,18,8510,86480,OPTIMAL,186725.5,186270.5,True,186270.5,4.24,3.92,600.0,ENF,,
1,1,7,curso,FIL,15,2760,92230,OPTIMAL,186270.5,186270.5,False,186270.5,0.6,0.26,600.0,FIL,,
1,1,8,curso,GEO,10,2070,92920,OPTIMAL,186270.5,186270.5,False,186270.5,0.62,0.28,600.0,GEO,,
1,1,9,curso,HIS,24,4784,90206,OPTIMAL,186270.5,186270.5,False,186270.5,0.66,0.33,600.0,HIS,,
1,1,10,curso,LET,36,9154,85836,OPTIMAL,186270.5,186270.5,False,186270.5,2.8,2.46,600.0,LET,,
1,1,11,curso,MAT,23,4968,90022,OPTIMAL,186270.5,186240.5,True,186240.5,0.71,0.36,600.0,MAT,,
1,1,12,curso,MED,41,9384,85606,OPTIMAL,186240.5,186240.5,False,186240.5,1.15,0.83,600.0,MED,,
1,1,13,curso,PED,56,12788,82202,OPTIMAL,186240.5,186190.5,True,186190.5,4.48,4.14,600.0,PED,,
1,2,1,curso,ADM,48,9292,85698,OPTIMAL,186190.5,186190.5,False,186190.5,0.93,0.59,600.0,ADM,,
1,2,2,curso,AGRO,51,8740,86250,OPTIMAL,186190.5,186190.5,False,186190.5,3.88,3.53,600.0,AGRO,,
1,2,3,curso,CC,47,10534,84456,OPTIMAL,186190.5,186190.5,False,186190.5,1.08,0.74,600.0,CC,,
1,2,4,curso,CS,22,4554,90436,OPTIMAL,186190.5,186190.5,False,186190.5,0.64,0.31,600.0,CS,,
1,2,5,curso,EAS,45,7452,87538,OPTIMAL,186190.5,186190.5,False,186190.5,0.65,0.33,600.0,EAS,,
1,2,6,curso,ENF,18,8510,86480,OPTIMAL,186190.5,186190.5,False,186190.5,1.87,1.55,600.0,ENF,,
1,2,7,curso,FIL,15,2760,92230,OPTIMAL,186190.5,186190.5,False,186190.5,0.6,0.28,600.0,FIL,,
1,2,8,curso,GEO,10,2070,92920,OPTIMAL,186190.5,186190.5,False,186190.5,0.6,0.28,600.0,GEO,,
1,2,9,curso,HIS,24,4784,90206,OPTIMAL,186190.5,186190.5,False,186190.5,0.65,0.33,600.0,HIS,,
1,2,10,curso,LET,36,9154,85836,OPTIMAL,186190.5,186190.5,False,186190.5,2.97,2.64,600.0,LET,,
1,2,11,curso,MAT,23,4968,90022,OPTIMAL,186190.5,186190.5,False,186190.5,0.69,0.35,600.0,MAT,,
1,2,12,curso,MED,41,9384,85606,OPTIMAL,186190.5,186190.5,False,186190.5,1.09,0.77,600.0,MED,,
1,2,13,curso,PED,56,12788,82202,OPTIMAL,186190.5,186190.5,False,186190.5,3.51,3.18,600.0,PED,,
1,3,1,dia_turno,2_M,38,10212,84778,OPTIMAL,186190.5,186190.5,False,186190.5,1.55,1.23,600.0,,2,M
1,3,2,dia_turno,2_T,34,12006,82984,OPTIMAL,186190.5,186190.5,False,186190.5,1.28,0.96,600.0,,2,T
1,3,3,dia_turno,2_N,41,9522,85468,OPTIMAL,186190.5,186190.5,False,186190.5,1.32,1.01,600.0,,2,N
1,3,4,dia_turno,3_M,36,10442,84548,OPTIMAL,186190.5,186190.5,False,186190.5,1.86,1.55,600.0,,3,M
1,3,5,dia_turno,3_T,34,11684,83306,OPTIMAL,186190.5,186190.5,False,186190.5,1.07,0.76,600.0,,3,T
1,3,6,dia_turno,3_N,40,7912,87078,OPTIMAL,186190.5,186190.5,False,186190.5,1.56,1.24,600.0,,3,N
1,3,7,dia_turno,4_M,35,11224,83766,OPTIMAL,186190.5,186190.5,False,186190.5,1.39,1.07,600.0,,4,M
1,3,8,dia_turno,4_T,29,10994,83996,OPTIMAL,186190.5,186190.5,False,186190.5,0.99,0.67,600.0,,4,T
1,3,9,dia_turno,4_N,42,9890,85100,OPTIMAL,186190.5,186190.5,False,186190.5,1.62,1.3,600.0,,4,N
1,3,10,dia_turno,5_M,38,11638,83352,OPTIMAL,186190.5,186190.5,False,186190.5,1.7,1.4,600.0,,5,M
1,3,11,dia_turno,5_T,31,10902,84088,OPTIMAL,186190.5,186190.5,False,186190.5,1.05,0.74,600.0,,5,T
1,3,12,dia_turno,5_N,39,8096,86894,OPTIMAL,186190.5,186190.5,False,186190.5,1.31,0.99,600.0,,5,N
1,3,13,dia_turno,6_M,32,7222,87768,OPTIMAL,186190.5,186190.5,False,186190.5,1.51,1.19,600.0,,6,M
1,3,14,dia_turno,6_T,30,11638,83352,OPTIMAL,186190.5,186190.5,False,186190.5,1.14,0.82,600.0,,6,T
1,3,15,dia_turno,6_N,39,8602,86388,OPTIMAL,186190.5,186190.5,False,186190.5,1.81,1.48,600.0,,6,N
1,3,16,dia_turno,7_M,19,8372,86618,OPTIMAL,186190.5,186190.5,False,186190.5,0.93,0.61,600.0,,7,M
1,3,17,dia_turno,7_T,9,4646,90344,OPTIMAL,186190.5,186190.5,False,186190.5,0.65,0.33,600.0,,7,T
1,3,18,dia_turno,7_N,3,2208,92782,OPTIMAL,186190.5,186190.5,False,186190.5,0.61,0.29,600.0,,7,N
